Store no., STARHUB ETOP UP $8 , STARHUB ETOP UP $17 , STARHUB ETOP UP $18 , STARHUB ETOP UP $25 , STARHUB ETOP UP $28 , STARHUB ETOP UP $50 , Total $ ,Total Qty
501, $376.00 , $-   , $234.00 , $-   , $140.00 , $-   , $750.00 ,65
502, $280.00 , $34.00 , $54.00 , $-   , $84.00 , $50.00 , $502.00 ,44
504, $360.00 , $-   , $198.00 , $-   , $196.00 , $350.00 ," $1,104.00 ",70
507, $480.00 , $-   , $342.00 , $-   , $280.00 , $750.00 ," $1,852.00 ",104
510, $552.00 , $-   , $414.00 , $75.00 , $336.00 , $250.00 ," $1,627.00 ",112
512, $192.00 , $-   , $198.00 , $-   , $112.00 , $-   , $502.00 ,39
515," $1,048.00 ", $51.00 ," $1,044.00 ", $-   , $280.00 , $350.00 ," $2,773.00 ",209
516, $696.00 , $34.00 , $882.00 , $-   , $252.00 , $100.00 ," $1,964.00 ",149
517, $560.00 , $17.00 , $504.00 , $-   , $280.00 , $-   ," $1,361.00 ",109
519, $304.00 , $-   , $198.00 , $-   , $84.00 , $-   , $586.00 ,52
521, $296.00 , $17.00 , $180.00 , $-   , $84.00 , $-   , $577.00 ,51
522, $168.00 , $-   , $414.00 , $-   , $84.00 , $-   , $666.00 ,47
523, $744.00 , $34.00 , $198.00 , $-   , $168.00 , $50.00 ," $1,194.00 ",113
525, $480.00 , $-   , $306.00 , $25.00 , $196.00 , $50.00 ," $1,057.00 ",86
533," $1,536.00 ", $17.00 ," $1,350.00 ", $25.00 , $728.00 , $50.00 ," $3,706.00 ",296
534, $712.00 , $17.00 , $432.00 , $-   , $196.00 , $200.00 ," $1,557.00 ",125
535," $1,312.00 ", $85.00 , $990.00 , $25.00 , $756.00 , $550.00 ," $3,718.00 ",263
536, $240.00 , $17.00 , $90.00 , $-   , $112.00 , $-   , $459.00 ,40
537," $1,712.00 ", $17.00 ," $2,196.00 ", $25.00 , $588.00 ," $2,050.00 "," $6,588.00 ",400
539, $232.00 , $17.00 , $180.00 , $25.00 , $168.00 , $50.00 , $672.00 ,48
541, $240.00 , $-   , $90.00 , $-   , $112.00 , $-   , $442.00 ,39
543, $64.00 , $-   , $36.00 , $-   , $392.00 , $-   , $492.00 ,24
544, $440.00 , $17.00 , $306.00 , $25.00 , $308.00 , $-   ," $1,096.00 ",85
546, $512.00 , $-   , $504.00 , $25.00 , $420.00 , $250.00 ," $1,711.00 ",113
548," $1,000.00 ", $34.00 ," $1,134.00 ", $-   , $756.00 , $150.00 ," $3,074.00 ",220
549, $592.00 , $-   , $360.00 , $-   , $140.00 , $-   ," $1,092.00 ",99
551, $48.00 , $17.00 , $54.00 , $-   , $84.00 , $-   , $203.00 ,13
556, $144.00 , $17.00 , $486.00 , $-   , $56.00 , $50.00 , $753.00 ,49
558, $224.00 , $17.00 , $288.00 , $-   , $196.00 , $-   , $725.00 ,52
563, $392.00 , $34.00 , $234.00 , $-   , $112.00 , $100.00 , $872.00 ,70
565, $248.00 , $-   , $108.00 , $-   , $140.00 , $-   , $496.00 ,42
566, $216.00 , $-   , $198.00 , $-   , $56.00 , $-   , $470.00 ,40
567, $888.00 , $85.00 , $576.00 , $-   , $308.00 , $50.00 ," $1,907.00 ",160
569, $120.00 , $17.00 , $270.00 , $25.00 , $56.00 , $100.00 , $588.00 ,36
570, $456.00 , $17.00 , $198.00 , $-   , $168.00 , $-   , $839.00 ,75
572," $1,200.00 ", $51.00 ," $1,152.00 ", $50.00 , $784.00 , $200.00 ," $3,437.00 ",251
573, $576.00 , $-   , $468.00 , $-   , $420.00 , $50.00 ," $1,514.00 ",114
574, $424.00 , $17.00 , $180.00 , $-   , $112.00 , $-   , $733.00 ,68
575, $808.00 , $-   , $684.00 , $-   , $560.00 , $100.00 ," $2,152.00 ",161
576, $176.00 , $-   , $90.00 , $-   , $28.00 , $50.00 , $344.00 ,29
578, $488.00 , $-   , $324.00 , $-   , $196.00 , $-   ," $1,008.00 ",86
579, $656.00 , $-   , $648.00 , $-   , $252.00 , $-   ," $1,556.00 ",127
580, $624.00 , $17.00 , $342.00 , $-   , $336.00 , $-   ," $1,319.00 ",110
581, $608.00 , $-   , $666.00 , $-   , $700.00 , $100.00 ," $2,074.00 ",140
582, $952.00 , $68.00 , $972.00 , $-   , $364.00 , $-   ," $2,356.00 ",190
584, $120.00 , $-   , $72.00 , $-   , $140.00 , $-   , $332.00 ,24
585, $280.00 , $-   , $378.00 , $-   , $-   , $200.00 , $858.00 ,60
590, $176.00 , $-   , $72.00 , $-   , $56.00 , $-   , $304.00 ,28
592, $80.00 , $-   , $72.00 , $-   , $112.00 , $50.00 , $314.00 ,19
593, $448.00 , $-   , $270.00 , $50.00 , $224.00 , $50.00 ," $1,042.00 ",82
595," $1,072.00 ", $68.00 , $540.00 , $-   , $168.00 , $50.00 ," $1,898.00 ",175
596, $488.00 , $34.00 , $414.00 , $-   , $252.00 , $-   ," $1,188.00 ",95
701, $312.00 , $34.00 , $234.00 , $-   , $84.00 , $-   , $664.00 ,57
702, $848.00 , $-   , $756.00 , $-   , $420.00 , $100.00 ," $2,124.00 ",165
703, $288.00 , $17.00 , $126.00 , $-   , $140.00 , $150.00 , $721.00 ,52
704, $280.00 , $34.00 , $324.00 , $25.00 , $56.00 , $-   , $719.00 ,58
705, $128.00 , $-   , $90.00 , $-   , $28.00 , $-   , $246.00 ,22
706, $248.00 , $17.00 , $252.00 , $25.00 , $252.00 , $50.00 , $844.00 ,57
707, $96.00 , $-   , $90.00 , $-   , $-   , $-   , $186.00 ,17
708, $136.00 , $-   , $18.00 , $25.00 , $28.00 , $150.00 , $357.00 ,23
709, $880.00 , $68.00 , $738.00 , $75.00 , $504.00 , $-   ," $2,265.00 ",176
713, $96.00 , $-   , $54.00 , $25.00 , $-   , $-   , $175.00 ,16
715, $368.00 , $-   , $162.00 , $25.00 , $168.00 , $-   , $723.00 ,62
716, $352.00 , $17.00 , $198.00 , $-   , $84.00 , $-   , $651.00 ,59
718," $1,024.00 ", $-   , $666.00 , $50.00 , $364.00 , $-   ," $2,104.00 ",180
719, $760.00 , $34.00 , $342.00 , $-   , $84.00 , $-   ," $1,220.00 ",119
720, $8.00 , $-   , $18.00 , $-   , $-   , $-   , $26.00 ,2
721, $328.00 , $17.00 , $324.00 , $25.00 , $168.00 , $50.00 , $912.00 ,68
722, $192.00 , $-   , $360.00 , $-   , $140.00 , $-   , $692.00 ,49
724, $168.00 , $-   , $234.00 , $-   , $112.00 , $-   , $514.00 ,38
726, $24.00 , $-   , $18.00 , $-   , $28.00 , $-   , $70.00 ,5
727, $408.00 , $34.00 , $702.00 , $-   , $252.00 , $-   ," $1,396.00 ",101
729, $952.00 , $17.00 , $630.00 , $-   , $420.00 , $100.00 ," $2,119.00 ",172
731, $392.00 , $-   , $216.00 , $-   , $56.00 , $-   , $664.00 ,63
733," $1,856.00 ", $221.00 ," $1,800.00 ", $-   ," $1,008.00 ", $100.00 ," $4,985.00 ",383
735, $424.00 , $17.00 , $558.00 , $-   , $168.00 , $50.00 ," $1,217.00 ",92
736, $864.00 , $17.00 , $504.00 , $-   , $308.00 , $50.00 ," $1,743.00 ",149
737," $1,048.00 ", $68.00 , $522.00 , $-   , $196.00 , $-   ," $1,834.00 ",171
738, $680.00 , $34.00 , $180.00 , $-   , $112.00 , $50.00 ," $1,056.00 ",102
739, $496.00 , $-   , $612.00 , $-   , $112.00 , $50.00 ," $1,270.00 ",101
746, $224.00 , $-   , $72.00 , $75.00 , $84.00 , $-   , $455.00 ,38
749, $664.00 , $102.00 , $522.00 , $25.00 , $448.00 , $50.00 ," $1,811.00 ",136
752, $24.00 , $-   , $36.00 , $-   , $28.00 , $-   , $88.00 ,6
753, $664.00 , $17.00 , $234.00 , $50.00 , $168.00 , $-   ," $1,133.00 ",105
754, $896.00 , $-   , $414.00 , $-   , $392.00 , $50.00 ," $1,752.00 ",150
755, $248.00 , $17.00 , $108.00 , $25.00 , $168.00 , $-   , $566.00 ,45
756, $384.00 , $-   , $162.00 , $-   , $280.00 , $-   , $826.00 ,67
758, $296.00 , $-   , $72.00 , $-   , $140.00 , $-   , $508.00 ,46
759," $1,192.00 ", $51.00 , $918.00 , $-   , $532.00 , $-   ," $2,693.00 ",222
760, $104.00 , $-   , $18.00 , $-   , $112.00 , $-   , $234.00 ,18
761," $1,480.00 ", $51.00 , $414.00 , $25.00 , $308.00 , $-   ," $2,278.00 ",223
762, $376.00 , $34.00 , $90.00 , $-   , $112.00 , $50.00 , $662.00 ,59
763, $352.00 , $17.00 , $126.00 , $-   , $140.00 , $-   , $635.00 ,57
765, $416.00 , $68.00 , $198.00 , $-   , $140.00 , $100.00 , $922.00 ,74
766, $544.00 , $17.00 , $540.00 , $-   , $140.00 , $-   ," $1,241.00 ",104
768, $248.00 , $17.00 , $198.00 , $-   , $56.00 , $-   , $519.00 ,45
769, $392.00 , $-   , $432.00 , $-   , $112.00 , $50.00 , $986.00 ,78
770, $264.00 , $-   , $108.00 , $-   , $140.00 , $-   , $512.00 ,44
772, $136.00 , $-   , $90.00 , $-   , $84.00 , $50.00 , $360.00 ,26
773, $592.00 , $34.00 , $486.00 , $-   , $112.00 , $-   ," $1,224.00 ",107
774, $208.00 , $-   , $342.00 , $25.00 , $112.00 , $50.00 , $737.00 ,51
775, $352.00 , $-   , $684.00 , $-   , $420.00 , $100.00 ," $1,556.00 ",99
777, $416.00 , $-   , $90.00 , $-   , $196.00 , $-   , $702.00 ,64
778, $144.00 , $-   , $108.00 , $-   , $140.00 , $-   , $392.00 ,29
780, $392.00 , $68.00 , $576.00 , $-   , $280.00 , $-   ," $1,316.00 ",95
781, $168.00 , $17.00 , $180.00 , $-   , $112.00 , $50.00 , $527.00 ,37
782, $168.00 , $-   , $54.00 , $-   , $112.00 , $250.00 , $584.00 ,33
784," $1,264.00 ", $51.00 , $882.00 , $50.00 , $336.00 , $100.00 ," $2,683.00 ",226
787, $200.00 , $-   , $54.00 , $-   , $56.00 , $-   , $310.00 ,30
790, $248.00 , $-   , $324.00 , $-   , $140.00 , $50.00 , $762.00 ,55
791, $536.00 , $-   , $432.00 , $-   , $364.00 , $-   ," $1,332.00 ",104
793, $144.00 , $-   , $126.00 , $-   , $140.00 , $-   , $410.00 ,30
795, $408.00 , $-   , $450.00 , $-   , $196.00 , $-   ," $1,054.00 ",83
